"","bandno","date","bodreg","site","sex","urb.score","urbanization","mass","tarsus","wing","pvol","pvol.tars","nestid","B2","H1","FWHM","S1U","bodycond","julian","year"
"80","187321228",2022-06-17,"lc","Big Shanty","Female",2.17321,"urban",182,34.79,"123",13.4800502222222,0.387469106703714,"122",4.77805181048335,636.666666666667,149.666666666667,0.202246324606745,0.118956778514553,167,2022
"81","187321228",2022-06-17,"rc","Big Shanty","Female",2.17321,"urban",182,34.79,"123",13.4800502222222,0.387469106703714,"122",3.88800861859718,632.833333333333,246.666666666667,0.195334379644527,0.118956778514553,167,2022
"82","187321228",2022-06-17,"rr","Big Shanty","Female",2.17321,"urban",182,34.79,"123",13.4800502222222,0.387469106703714,"122",4.88015296934419,642,215.8,0.22127857628996,0.118956778514553,167,2022
"83","187321228",2022-06-17,"th","Big Shanty","Female",2.17321,"urban",182,34.79,"123",13.4800502222222,0.387469106703714,"122",3.0989930429113,621,188.666666666667,0.205333769018633,0.118956778514553,167,2022
"84","187321229",2022-06-17,"ba","Big Shanty","Female",2.17321,"urban",183,34.91,"122",9.526528,0.272888226869092,"123",9.02608999617634,552,179,0.281976100528477,0.233351575151415,167,2022
"85","187321229",2022-06-17,"be","Big Shanty","Female",2.17321,"urban",183,34.91,"122",9.526528,0.272888226869092,"123",4.47085652594467,618.2,286.6,0.188690899289696,0.233351575151415,167,2022
"86","187321229",2022-06-17,"lc","Big Shanty","Female",2.17321,"urban",183,34.91,"122",9.526528,0.272888226869092,"123",4.94622832744666,650.5,157.25,0.204228392376558,0.233351575151415,167,2022
"87","187321229",2022-06-17,"rc","Big Shanty","Female",2.17321,"urban",183,34.91,"122",9.526528,0.272888226869092,"123",4.5629794557686,636,183.333333333333,0.233892416346045,0.233351575151415,167,2022
"88","187321229",2022-06-17,"rr","Big Shanty","Female",2.17321,"urban",183,34.91,"122",9.526528,0.272888226869092,"123",4.31383749767851,627.333333333333,279.666666666667,0.128827595271491,0.233351575151415,167,2022
"89","187321229",2022-06-17,"th","Big Shanty","Female",2.17321,"urban",183,34.91,"122",9.526528,0.272888226869092,"123",4.56239253459901,644.5,285.5,0.219667924431339,0.233351575151415,167,2022
"90","187321055",2021-04-30,"ba","Cattle Farm","Female",-2.29657,"rural",192,34.27,"123",6.76195,0.197313977239568,"44",4.90222144621178,575.125,242.5,0.224624753742767,-0.457095255116791,119,2021
"91","187321055",2021-04-30,"be","Cattle Farm","Female",-2.29657,"rural",192,34.27,"123",6.76195,0.197313977239568,"44",2.90662599787103,621.714285714286,304.571428571429,0.176129423851118,-0.457095255116791,119,2021
"92","187321055",2021-04-30,"lc","Cattle Farm","Female",-2.29657,"rural",192,34.27,"123",6.76195,0.197313977239568,"44",4.0459818083408,641.2,237,0.216939706400832,-0.457095255116791,119,2021
"93","187321055",2021-04-30,"rc","Cattle Farm","Female",-2.29657,"rural",192,34.27,"123",6.76195,0.197313977239568,"44",5.00317385724727,644.4,142.2,0.226488799114918,-0.457095255116791,119,2021
"94","187321055",2021-04-30,"rr","Cattle Farm","Female",-2.29657,"rural",192,34.27,"123",6.76195,0.197313977239568,"44",3.28939654782744,626.428571428571,267.857142857143,0.161127882398454,-0.457095255116791,119,2021
